name,colour,band,code
Moxie Ash 2.0mt Roller,,C,RP6145
Moxie Confetti 2.0mt Roller,,C,RP6160
Moxie Fresh 2.0mt Roller,,C,RP6161
Moxie Lagoon 2.0 mt Roller,,C,RP6144
Myth Flax 2.0MT Roller,,C,RP5368
Myth Hemp 2.0MT Roller,,C,RP5369
Napa Mersin 2.0mt Roller,,B,RP2361
Nico Beige 2.5m,,A3,RP5803
Nico Cotton White 2.5m,,A3,RP5801
Nico Cream 2.5m,,A3,RP5802
Nico Light Grey 2.5m,,A3,RP5805
Nico Mid-Grey 2.5m,,A3,RP5806
Nico Noir 2.5m,,A3,RP5807
Nico Pure White 2.5m,,A3,RP5800
No Fabric Required,,A,NOFABR
Odin Flax 2.0MT Roller,,D,RP5364
Odin Midnight 2.0MT Roller,,D,RP5365
Odin Myth 2.0MT Roller,,D,RP5363
Odin Sea 2.0MT Roller,,D,RP5366
Odin Solas 2.0MT Roller,,D,RP5367
Opus Beige Wide 2.0mt Roller,,A,RP755
Opus Mist 2mt roller,,A,RP6112
Opus White Wide 2.0mt Roller,,A,RP754
Orissa Brulee 2.5MT Roller,,C,RP5329
Orissa Denim 2.5MT Roller,,C,RP5335
Orissa Femme 2.5MT Roller,,C,RP5334
Orissa Graphite 2.5MT Roller,,C,RP5332
Orissa Mellow 2.5MT Roller,,C,RP5333
Orissa Midnight 2.5MT Roller,,C,RP5337
Orissa Mist 2.5MT Roller,,C,RP5331
Orissa Stone 2.5MT Roller,,C,RP5330
Orissa Teal 2.5MT Roller,,C,RP5336
Orissa Warmth 2.5MT Roller,,C,RP5328
Plaza Graphite 1.83mt Roller,,B,RP5121
Plaza Sense 1.83mt Roller,,B,RP6010
Plaza Steel 1.83mt Roller,,B,RP5122
Plaza Stone 1.83mt Roller,,B,RP5123
Plaza Touch 1.83mt Roller,,B,RP6009
Plaza Whisper 1.83mt Roller,,B,RP5125
Puriti Cotton 2.1mt Roller,,B,RP1121
Renzo Armada 2.0mt Roller,,C,RP6043
Renzo Chalk 2.0mt Roller,,C,RP6042
Renzo Glow 2.0mt Roller,,C,RP6046
Renzo Heat 2.0MT Roller,,C,RP5316
Renzo Maya 2.0mt Roller,,C,RP6044
Renzo Steel 2.0mt Roller,,C,RP6045
Rocha Brulee 3.0 MT Roller,,D,RP5345
Rocha Fern 3.0 MT Roller,,D,RP5346
Rocha Sky 3.0 MT Roller,,D,RP5344
Rocha Wolf 3.0 MT Roller,,D,RP5347
Sabina Midnight 2.5MT Roller,,E,RP5454
Sabina Mist 2.5MT Roller,,E,RP5453
Sahara Cream 1.83mt Roller,,C,RP1037
Sahara Vapour 1.83mt Roller,,C,RP6011
Sahara White 1.83mt Roller,,C,RP1038
Samba Cream 1.83mt Roller,,C,RP242
Samba Frost 1.83mt Roller,,C,RP240
Samba Steel 1.83mt Roller,,C,RP5136
Sasha Beige 2.0mt Roller,,B,RP4336
Sasha White 2.0mt Roller,,B,RP4335
Savannah Cream 2.0mt Roller,,B,RP4334
Savannah White 2.0mt Roller,,B,RP4333
Scope Balance 2.0mt Roller,,AA,RP5462
Scope Bare 2.0mt Roller,,AA,RP5460
Scope Drama 2.0mt Roller,,AA,RP5468
Scope Harbour 2.0mt Roller,,AA,RP5465
Scope Harmony 2.0mt Roller,,AA,RP5467
Scope Impact 2.0mt Roller,,AA,RP5466
Scope Nomad 2.0mt Roller,,AA,RP5464
Scope Sense 2.0mt Roller,,AA,RP5463
Scope Space 2.0mt Roller,,AA,RP5469
