name,colour,band
Radiance,Pearl Grey,C
Metropol,Cream,A
Montoya,Pistachio,
Duette Batiste Sheer,Dolphin,
Duette,Charcoal,
Duette,Stone,
Duette Unix Dim Out FR,Pigeon,E
Duette Unix Dim Out FR,Seagull,E
Duette Unix Dim Out,Platinum,D
Duette Unix Dim Out,Sheep Skin,D
Arran,Slate,
Duette Elan,Ocean,D
Margurite,Lime,
Hive Micro - 18mm Micro,Cream,
Hive Micro - 18mm Micro,Duck Egg,
Hive Micro - 18mm Micro,Grey,
Hive Micro - 18mm Micro,Latte,
Hive Micro - 18mm Micro,White,
Infusion asc Micro - 16mm Micro,Iron,
Ribbons asc Micro,Pewter,B
Ribbons asc Micro,Taupe,B
Ribbons asc Micro,White,B
Solstice asc Micro,Anthracite,A
Solstice asc Micro,Lily,A
Solstice asc Micro,Pewter,A
Zara,Opal,
Zara,Sand,
Zara,Silver,
