system,band,width_mm,drop_mm,price
89mm,B,4300,2500,296.0
89mm,B,4500,2500,308.0
89mm,B,4700,2500,320.0
89mm,B,5000,2500,336.0
89mm,B,500,2700,65.0
89mm,B,700,2700,75.0
89mm,B,900,2700,88.0
89mm,B,1100,2700,104.0
89mm,B,1300,2700,116.0
89mm,B,1500,2700,126.0
89mm,B,1700,2700,143.0
89mm,B,1900,2700,153.0
89mm,B,2100,2700,165.0
89mm,B,2300,2700,181.0
89mm,B,2500,2700,193.0
89mm,B,2700,2700,208.0
89mm,B,2900,2700,219.0
89mm,B,3100,2700,233.0
89mm,B,3300,2700,245.0
89mm,B,3500,2700,260.0
89mm,B,3700,2700,273.0
89mm,B,3900,2700,284.0
89mm,B,4100,2700,298.0
89mm,B,4300,2700,309.0
89mm,B,4500,2700,324.0
89mm,B,4700,2700,335.0
89mm,B,5000,2700,355.0
89mm,B,500,2900,68.0
89mm,B,700,2900,78.0
89mm,B,900,2900,91.0
89mm,B,1100,2900,108.0
89mm,B,1300,2900,119.0
89mm,B,1500,2900,132.0
89mm,B,1700,2900,147.0
89mm,B,1900,2900,158.0
89mm,B,2100,2900,177.0
89mm,B,2300,2900,187.0
89mm,B,2500,2900,204.0
89mm,B,2700,2900,217.0
89mm,B,2900,2900,229.0
89mm,B,3100,2900,244.0
89mm,B,3300,2900,258.0
89mm,B,3500,2900,273.0
89mm,B,3700,2900,284.0
89mm,B,3900,2900,298.0
89mm,B,4100,2900,313.0
89mm,B,4300,2900,324.0
89mm,B,4500,2900,336.0
89mm,B,4700,2900,353.0
89mm,B,5000,2900,371.0
89mm,B,500,3100,69.0
89mm,B,700,3100,83.0
89mm,B,900,3100,99.0
89mm,B,1100,3100,111.0
89mm,B,1300,3100,123.0
89mm,B,1500,3100,141.0
89mm,B,1700,3100,153.0
89mm,B,1900,3100,166.0
89mm,B,2100,3100,182.0
89mm,B,2300,3100,194.0
89mm,B,2500,3100,211.0
89mm,B,2700,3100,226.0
89mm,B,2900,3100,240.0
89mm,B,3100,3100,257.0
89mm,B,3300,3100,269.0
89mm,B,3500,3100,284.0
89mm,B,3700,3100,298.0
89mm,B,3900,3100,313.0
89mm,B,4100,3100,326.0
89mm,B,4300,3100,342.0
89mm,B,4500,3100,355.0
89mm,B,4700,3100,368.0
89mm,B,5000,3100,389.0
89mm,B,500,3300,69.0
89mm,B,700,3300,84.0
89mm,B,900,3300,100.0
89mm,B,1100,3300,114.0
89mm,B,1300,3300,130.0
89mm,B,1500,3300,145.0
89mm,B,1700,3300,157.0
89mm,B,1900,3300,173.0
89mm,B,2100,3300,188.0
89mm,B,2300,3300,204.0
89mm,B,2500,3300,219.0
89mm,B,2700,3300,237.0
89mm,B,2900,3300,250.0
89mm,B,3100,3300,264.0
89mm,B,3300,3300,278.0
89mm,B,3500,3300,296.0
89mm,B,3700,3300,309.0
89mm,B,3900,3300,324.0
89mm,B,4100,3300,342.0
89mm,B,4300,3300,355.0
89mm,B,4500,3300,368.0
89mm,B,4700,3300,384.0
89mm,B,5000,3300,405.0
89mm,B,500,3500,70.0
89mm,B,700,3500,86.0
89mm,B,900,3500,104.0
89mm,B,1100,3500,118.0
89mm,B,1300,3500,132.0
89mm,B,1500,3500,150.0
89mm,B,1700,3500,165.0
89mm,B,1900,3500,181.0
89mm,B,2100,3500,194.0
89mm,B,2300,3500,210.0
